catchment_id,pixel_count,area_km2,mean_slope,mean_flow_accum,max_flow_accum,drainage_density,region,center_lat,center_lon,nearest_grid_cell_id,grid_distance_deg,rainfall_match_quality
C1,1722,1.55,67.02,47.03,1722.0,0.213,Uttarakhand,29.996150148406244,78.76845705897536,30.0_78.75,0.018854293498133987,good
C2,1524,1.372,72.2,31.79,1524.0,0.219,Uttarakhand,29.986513378536014,78.53535068533101,30.0_78.5,0.03783596056511585,good
C3,2046,1.841,73.62,37.75,2046.0,0.407,Uttarakhand,29.987182714239164,78.44038286086673,30.0_78.5,0.06097939072104706,good
C4,1230,1.107,70.61,39.68,1230.0,0.027,Uttarakhand,29.992207542908762,78.92383039747065,30.0_79.0,0.07656716487501389,good
C5,2450,2.205,71.53,38.96,2450.0,0.259,Uttarakhand,29.989151020408162,78.75015328798186,30.0_78.75,0.010850062460165903,good
C6,1249,1.124,69.63,29.39,1249.0,0.08,Uttarakhand,29.97606040387866,78.84039676185394,30.0_78.75,0.09351298741955881,good
C7,1345,1.21,71.6,27.37,1345.0,0.099,Uttarakhand,29.98054956629492,78.82676662536143,30.0_78.75,0.0791923868859743,good
C8,1424,1.282,72.87,36.98,1424.0,0.375,Uttarakhand,29.98096598002497,78.71187148876405,30.0_78.75,0.042615458292503565,good
C9,1634,1.471,70.85,47.64,1634.0,0.592,Uttarakhand,29.98281211750306,78.76180300557596,30.0_78.75,0.020850281661279967,good
C10,1643,1.479,75.59,29.69,1643.0,0.203,Uttarakhand,29.973451680530193,78.45367637113681,30.0_78.5,0.05339187070824245,good
C11,1849,1.664,75.98,30.25,1849.0,0.288,Uttarakhand,29.97374061054023,78.94775344029806,30.0_79.0,0.05847442633740409,good
C12,1782,1.604,73.76,40.14,1782.0,0.505,Uttarakhand,29.970836762688613,78.90566576256391,30.0_79.0,0.09873926657175584,good
C13,1638,1.474,69.26,38.87,1638.0,0.407,Uttarakhand,29.96103038936372,78.3548483923484,30.0_78.25,0.11185622884393838,good
C14,1241,1.117,73.62,24.13,1241.0,0.027,Uttarakhand,29.958480839824514,78.82384322678844,30.0_78.75,0.08471518638477257,good
C15,1349,1.214,75.01,29.59,1349.0,0.049,Uttarakhand,29.96884852977514,78.53166048925131,30.0_78.5,0.04441622087483937,good
C16,3664,3.298,76.79,51.8,3664.0,0.491,Uttarakhand,29.96081134764677,78.96241357350802,30.0_79.0,0.054299999352665995,good
C17,1213,1.092,73.03,21.34,1213.0,0.027,Uttarakhand,29.95518938353027,78.34175322890904,30.0_78.25,0.1021109512424212,good
C18,1427,1.284,75.7,22.91,1427.0,0.07,Uttarakhand,29.95510706221288,78.48546231410107,30.0_78.5,0.047188135950197364,good
C19,1719,1.547,76.59,38.92,1719.0,0.252,Uttarakhand,29.949509243099993,78.92522752246138,30.0_79.0,0.09022327820246,good
C20,1834,1.651,77.77,31.73,1834.0,0.218,Uttarakhand,29.94905837271295,78.95610989943052,30.0_79.0,0.06724128433226173,good
C21,1395,1.256,74.79,22.7,1395.0,0.072,Uttarakhand,29.94681142970928,78.57237176423736,30.0_78.5,0.08981478869539845,good
C22,1247,1.122,76.75,26.59,1247.0,0.053,Uttarakhand,29.94549897531854,78.80861779381628,30.0_78.75,0.08004003650184899,good
C23,1351,1.216,76.65,28.61,1351.0,0.099,Uttarakhand,29.945556583600624,78.58311703265072,30.0_78.5,0.09936058929926185,good
C24,1244,1.12,78.03,21.84,1244.0,0.027,Uttarakhand,29.946149294390853,78.47445270632369,30.0_78.5,0.059603378333670756,good
C25,1204,1.084,78.86,30.32,1204.0,0.028,Uttarakhand,29.93721276301218,78.55428363787377,30.0_78.5,0.08299970162220352,good
C26,1590,1.431,73.46,24.93,1590.0,0.042,Uttarakhand,29.94786250873515,78.34930118798044,30.0_78.25,0.11215633700206128,good
C27,1373,1.236,78.12,30.59,1373.0,0.291,Uttarakhand,29.938570445901107,78.39729121145909,30.0_78.5,0.11967742209928316,good
C28,1265,1.138,77.03,38.51,1265.0,0.264,Uttarakhand,29.940188844971452,78.88357861220905,30.0_79.0,0.130886644853552,good
C29,1863,1.677,78.17,29.45,1863.0,0.215,Uttarakhand,29.93687466451959,78.95118089103597,30.0_79.0,0.07980045977032837,good
C30,1763,1.587,79.06,32.03,1763.0,0.189,Uttarakhand,29.943096048402342,78.97076085586438,30.0_79.0,0.0639764586173062,good
C31,2097,1.887,76.72,40.04,2097.0,0.318,Uttarakhand,29.93454273300482,78.90903632172946,30.0_79.0,0.11206714311958017,good
C32,1986,1.787,80.09,30.36,1986.0,0.218,Uttarakhand,29.932942682108088,78.6846016560367,30.0_78.75,0.09366764263073148,good
C33,1906,1.715,80.01,32.28,1906.0,0.262,Uttarakhand,29.92997799347091,78.54727629124403,30.0_78.5,0.0844874494357027,good
C34,1389,1.25,79.81,26.22,1389.0,0.096,Uttarakhand,29.936977241820653,78.98274398048157,30.0_79.0,0.06534246902400305,good
C35,2178,1.96,75.8,33.42,2178.0,0.153,Uttarakhand,29.934046908478724,78.47824966840119,30.0_78.5,0.06944701005710772,good
C36,1383,1.245,78.38,22.77,1383.0,0.024,Uttarakhand,29.921112517072384,78.3750686912509,30.0_78.5,0.14775339883879912,good
C37,1612,1.451,80.04,40.04,1612.0,0.455,Uttarakhand,29.92555503859939,78.99582764681556,30.0_79.0,0.07456179188454264,good
C38,1311,1.18,78.9,38.68,1311.0,0.254,Uttarakhand,29.927744088482072,78.9788808373591,30.0_79.0,0.07527905273008847,good
C39,1848,1.663,78.08,26.1,1848.0,0.018,Uttarakhand,29.923052098364597,78.8024745971621,30.0_78.75,0.09313733361771044,good
C40,1250,1.125,80.05,28.1,1250.0,0.107,Uttarakhand,29.92035,78.49759333333334,30.0_78.5,0.07968635105489864,good
C41,1354,1.219,76.24,29.62,1354.0,0.123,Uttarakhand,29.91646787296898,78.555701009355,30.0_78.5,0.10040029227792538,good
C42,2264,2.038,80.45,38.58,2264.0,0.368,Uttarakhand,29.913924838044757,78.62524550942285,30.0_78.75,0.1515672010191671,good
C43,1826,1.643,80.18,38.03,1826.0,0.347,Uttarakhand,29.913357368869416,78.79887915297554,30.0_78.75,0.09947922961521705,good
C44,1423,1.281,81.78,30.97,1423.0,0.258,Uttarakhand,29.90665593035059,78.96882915593035,30.0_79.0,0.0984110606523911,good
C45,1446,1.301,84.6,29.11,1446.0,0.092,Uttarakhand,29.895528853542338,78.88476678961119,30.0_79.0,0.15554071241539855,good
C46,1309,1.178,84.22,38.53,1309.0,0.229,Uttarakhand,29.89183537051184,78.87748132586368,30.0_79.0,0.1634332052687949,good
C47,1263,1.137,80.79,23.19,1263.0,0.026,Uttarakhand,29.902886645552915,78.39719143133632,30.0_78.5,0.14142349664266873,good
C48,2589,2.33,84.25,49.96,2589.0,0.528,Uttarakhand,29.89108718509935,78.89378492339385,30.0_79.0,0.1521303511730409,good
C49,1365,1.228,82.87,23.16,1365.0,0.049,Uttarakhand,29.89484004884005,78.59815832315833,30.0_78.5,0.1438529517709612,good
C50,1974,1.777,84.13,35.35,1974.0,0.355,Uttarakhand,29.89301460655184,78.98589130924238,30.0_79.0,0.10791167483711714,good
C51,1667,1.5,83.5,29.57,1667.0,0.04,Uttarakhand,29.893900053322668,78.9484731387056,30.0_79.0,0.11795005773540639,good
C52,1844,1.66,84.36,32.79,1844.0,0.235,Uttarakhand,29.8923980175946,78.97466497951314,30.0_79.0,0.11054433445745436,good
C53,2025,1.822,84.02,33.12,2025.0,0.28,Uttarakhand,29.884278463648833,78.56815692729768,30.0_78.5,0.13430130570525173,good
C54,1669,1.502,84.64,32.86,1669.0,0.22,Uttarakhand,29.892424938419545,78.96563993742095,30.0_79.0,0.11292921577021266,good
C55,2035,1.832,84.47,41.93,2035.0,0.508,Uttarakhand,29.883220174720172,78.90614482664483,30.0_79.0,0.14982096367970474,good
C56,1421,1.279,86.58,24.72,1421.0,0.023,Uttarakhand,29.87680760810071,78.7408429118774,30.0_78.75,0.123532253621286,good
C57,1445,1.3,84.98,26.32,1445.0,0.161,Uttarakhand,29.88270549788543,78.98702037677816,30.0_79.0,0.11801046921898962,good
C58,1401,1.261,85.62,31.3,1401.0,0.048,Uttarakhand,29.87886688079943,78.46432944722025,30.0_78.5,0.12627597120146303,good
C59,1714,1.543,84.79,26.44,1714.0,0.078,Uttarakhand,29.877305361078697,78.65749060028524,30.0_78.75,0.15366184775543185,good
C60,1355,1.22,85.07,25.6,1355.0,0.074,Uttarakhand,29.88257954079541,78.96387105371055,30.0_79.0,0.12285302194005362,good
C61,2509,2.258,86.03,47.47,2509.0,0.531,Uttarakhand,29.876432952482173,78.87144402373677,30.0_78.75,0.17325549380510405,good
C62,1338,1.204,86.25,25.32,1338.0,0.025,Uttarakhand,29.87862917289487,78.88296524663677,30.0_79.0,0.16860608282910614,good
C63,1374,1.237,86.41,39.74,1374.0,0.315,Uttarakhand,29.87032083939835,78.8026938783762,29.75_78.75,0.13135352759575789,good
C64,1956,1.76,85.41,37.95,1956.0,0.426,Uttarakhand,29.878826829129743,78.85814687002954,30.0_78.75,0.1624151558073921,good
C65,1652,1.487,85.62,26.57,1652.0,0.101,Uttarakhand,29.877752219531878,78.68672551789078,30.0_78.75,0.13765238797628013,good
C66,1444,1.3,86.7,28.32,1444.0,0.185,Uttarakhand,29.87149719144352,78.923280047707,29.75_79.0,0.1436924445073723,good
C67,2361,2.125,86.52,34.48,2361.0,0.212,Uttarakhand,29.869937526471833,78.57851051814204,29.75_78.5,0.14334891598862265,good
C68,2181,1.963,86.47,38.92,2181.0,0.443,Uttarakhand,29.8697186560701,78.9064845381833,29.75_79.0,0.1519134563164829,good
C69,2167,1.95,87.21,37.95,2167.0,0.154,Uttarakhand,29.8642854945393,78.81276739475979,29.75_78.75,0.13038757650567506,good
C70,1469,1.322,86.95,20.84,1469.0,0.045,Uttarakhand,29.866354663036077,78.9309146433704,29.75_79.0,0.13531886088375866,good
C71,1875,1.688,87.25,28.73,1875.0,0.124,Uttarakhand,29.869681185185183,78.45346755555556,29.75_78.5,0.12840893455404367,good
C72,1295,1.166,87.19,40.71,1295.0,0.36,Uttarakhand,29.863645645645644,78.89538138138138,29.75_79.0,0.15446808128504305,good
C73,1360,1.224,87.54,28.88,1360.0,0.147,Uttarakhand,29.864443627450978,78.9548564133987,29.75_79.0,0.12302555537516248,good
C74,1391,1.252,88.45,32.54,1391.0,0.168,Uttarakhand,29.856232326863168,78.5033325345475,29.75_78.5,0.10628458522887134,good
C75,1729,1.556,88.73,29.78,1729.0,0.174,Uttarakhand,29.853986568986567,78.52108894029948,29.75_78.5,0.10610348690101108,good
C76,1390,1.251,89.53,27.22,1390.0,0.048,Uttarakhand,29.84850659472422,78.53659492406075,29.75_78.5,0.10508443115501902,good
C77,1739,1.565,89.55,39.81,1739.0,0.403,Uttarakhand,29.848908056993164,78.73056130598684,29.75_78.75,0.1008001317613237,good
C78,1457,1.311,89.21,34.82,1457.0,0.252,Uttarakhand,29.841070502554714,78.55610691680013,29.75_78.5,0.10696645524829383,good
C79,2100,1.89,89.41,38.38,2100.0,0.365,Uttarakhand,29.849009656084654,78.88778214285715,29.75_79.0,0.1496521281497025,good
C80,1382,1.244,89.58,25.43,1382.0,0.024,Uttarakhand,29.847142426435116,78.4411486975398,29.75_78.5,0.1135787251863821,good
C81,1312,1.181,89.29,30.73,1312.0,0.203,Uttarakhand,29.84014926321138,78.7306360094851,29.75_78.75,0.09220549759215001,good
C82,1702,1.532,89.43,33.09,1702.0,0.333,Uttarakhand,29.84112498367933,78.74898110066589,29.75_78.75,0.09113067983072994,good
C83,1601,1.441,88.36,34.05,1601.0,0.291,Uttarakhand,29.833009056839472,78.5640032271497,29.75_78.5,0.10481849361135924,good
C84,1969,1.772,88.54,27.88,1969.0,0.203,Uttarakhand,29.83322823204108,78.90799418768692,29.75_79.0,0.12406453203100694,good
C85,1449,1.304,87.84,29.14,1449.0,0.207,Uttarakhand,29.830829115865345,78.49526148301511,29.75_78.5,0.08096789187566565,good
C86,1590,1.431,88.8,26.88,1590.0,0.147,Uttarakhand,29.835105520614952,78.83780013976241,29.75_78.75,0.12227761112092596,good
C87,2065,1.858,88.19,46.02,2065.0,0.533,Uttarakhand,29.83019504977132,78.93892951304817,29.75_79.0,0.10080104356780516,good
C88,1320,1.188,86.84,27.17,1320.0,0.152,Uttarakhand,29.82250547138047,78.87495728114479,29.75_78.75,0.14446925448413478,good
C89,2216,1.994,87.99,37.16,2216.0,0.241,Uttarakhand,29.831916741877254,78.66820835840353,29.75_78.75,0.1157593418901028,good
C90,2601,2.341,86.79,40.45,2601.0,0.436,Uttarakhand,29.82136496646589,78.52875272331156,29.75_78.5,0.07693944070831552,good
C91,1277,1.149,87.62,35.62,1277.0,0.183,Uttarakhand,29.822551118071868,78.91984142521535,29.75_79.0,0.1081159648016147,good
C92,1321,1.189,86.44,22.21,1321.0,0.025,Uttarakhand,29.81874905374716,78.6845607284044,29.75_78.75,0.09491433325947939,good
C93,1250,1.125,85.8,27.7,1250.0,0.053,Uttarakhand,29.81361088888889,78.88130755555557,29.75_79.0,0.13466343807221637,good
C94,1551,1.396,85.49,31.28,1551.0,0.236,Uttarakhand,29.806350383265276,78.9637413138477,29.75_79.0,0.06700789517388252,good
