catchment_id,pixel_count,area_km2,mean_slope,mean_flow_accum,max_flow_accum,drainage_density,region
C1,1722,1.55,67.02,47.03,1722.0,0.213,Uttarakhand
C2,1524,1.372,72.2,31.79,1524.0,0.219,Uttarakhand
C3,2046,1.841,73.62,37.75,2046.0,0.407,Uttarakhand
C4,1230,1.107,70.61,39.68,1230.0,0.027,Uttarakhand
C5,2450,2.205,71.53,38.96,2450.0,0.259,Uttarakhand
C6,1249,1.124,69.63,29.39,1249.0,0.08,Uttarakhand
C7,1345,1.21,71.6,27.37,1345.0,0.099,Uttarakhand
C8,1424,1.282,72.87,36.98,1424.0,0.375,Uttarakhand
C9,1634,1.471,70.85,47.64,1634.0,0.592,Uttarakhand
C10,1643,1.479,75.59,29.69,1643.0,0.203,Uttarakhand
C11,1849,1.664,75.98,30.25,1849.0,0.288,Uttarakhand
C12,1782,1.604,73.76,40.14,1782.0,0.505,Uttarakhand
C13,1638,1.474,69.26,38.87,1638.0,0.407,Uttarakhand
C14,1241,1.117,73.62,24.13,1241.0,0.027,Uttarakhand
C15,1349,1.214,75.01,29.59,1349.0,0.049,Uttarakhand
C16,3664,3.298,76.79,51.8,3664.0,0.491,Uttarakhand
C17,1213,1.092,73.03,21.34,1213.0,0.027,Uttarakhand
C18,1427,1.284,75.7,22.91,1427.0,0.07,Uttarakhand
C19,1719,1.547,76.59,38.92,1719.0,0.252,Uttarakhand
C20,1834,1.651,77.77,31.73,1834.0,0.218,Uttarakhand
C21,1395,1.256,74.79,22.7,1395.0,0.072,Uttarakhand
C22,1247,1.122,76.75,26.59,1247.0,0.053,Uttarakhand
C23,1351,1.216,76.65,28.61,1351.0,0.099,Uttarakhand
C24,1244,1.12,78.03,21.84,1244.0,0.027,Uttarakhand
C25,1204,1.084,78.86,30.32,1204.0,0.028,Uttarakhand
C26,1590,1.431,73.46,24.93,1590.0,0.042,Uttarakhand
C27,1373,1.236,78.12,30.59,1373.0,0.291,Uttarakhand
C28,1265,1.138,77.03,38.51,1265.0,0.264,Uttarakhand
C29,1863,1.677,78.17,29.45,1863.0,0.215,Uttarakhand
C30,1763,1.587,79.06,32.03,1763.0,0.189,Uttarakhand
C31,2097,1.887,76.72,40.04,2097.0,0.318,Uttarakhand
C32,1986,1.787,80.09,30.36,1986.0,0.218,Uttarakhand
C33,1906,1.715,80.01,32.28,1906.0,0.262,Uttarakhand
C34,1389,1.25,79.81,26.22,1389.0,0.096,Uttarakhand
C35,2178,1.96,75.8,33.42,2178.0,0.153,Uttarakhand
